0,0.344,1.046,0.534,0.137,0.137,0.9,0.38,0.504,0.841,0.12,0.133,0.123,0.12,0.124
0.344,0,0.872,0.598,0.125,0.13,0.808,0.413,1.018,0.807,0.116,0.119,0.116,0.115,0.121
1.046,0.872,0,0.249,0.125,0.124,0.529,0.287,0.266,0.669,0.119,0.12,0.116,0.117,0.12
0.534,0.598,0.249,0,0.145,0.147,0.867,0.462,0.571,0.672,0.138,0.139,0.158,0.177,0.142
0.137,0.125,0.125,0.145,0,0.162,1.063,0.539,1.488,0.798,0.154,0.158,0.155,0.155,0.158
0.137,0.13,0.124,0.147,0.162,0,1.158,0.574,0.747,1.077,0.174,0.178,0.174,0.184,0.179
0.9,0.808,0.529,0.867,1.063,1.158,0,0.55,0.875,0.973,0.154,0.16,0.155,0.154,0.159
0.38,0.413,0.287,0.462,0.539,0.574,0.55,0,0.355,0.61,0.154,0.159,0.154,0.154,0.192
0.504,1.018,0.266,0.571,1.488,0.747,0.875,0.355,0,1.067,0.161,0.166,0.2,0.161,0.164
0.841,0.807,0.669,0.672,0.798,1.077,0.973,0.61,1.067,0,0.148,0.154,0.436,0.298,0.206
0.12,0.116,0.119,0.138,0.154,0.174,0.154,0.154,0.161,0.148,0,0.131,0.128,0.128,0.136
0.133,0.119,0.12,0.139,0.158,0.178,0.16,0.159,0.166,0.154,0.131,0,0.131,0.128,0.13
0.123,0.116,0.116,0.158,0.155,0.174,0.155,0.154,0.2,0.436,0.128,0.131,0,0.159,0.165
0.12,0.115,0.117,0.177,0.155,0.184,0.154,0.154,0.161,0.298,0.128,0.128,0.159,0,0.172
0.124,0.121,0.12,0.142,0.158,0.179,0.159,0.192,0.164,0.206,0.136,0.13,0.165,0.172,0
0.467,0.466,5.835,0.145,0.072,0.073,0.304,0.174,0.153,0.363,0.074,0.078,0.074,0.074,0.078
0.467,0.466,6.29,0.385,0.073,0.073,0.619,0.246,0.292,0.426,0.071,0.075,0.072,0.072,0.075
0.364,0.382,0.98,0.923,0.178,0.193,1.155,0.575,1.134,1.156,0.163,0.204,0.188,0.155,0.182
0.455,0.465,0.833,0.181,0.084,0.106,0.391,0.324,0.286,0.576,0.136,0.279,0.087,0.167,0.143
0.488,0.689,1.293,0.286,0.085,0.067,0.449,0.274,0.163,0.319,0.054,0.133,0.041,0.09,0.062
