0,0.049,0.238,0.173,0.086,0.086,0.379,0.042,0.189,0.138,1.415,0.072,0.038,0.113,0.188,0.155,0.096,0.222,0.253,0.82,0.298,1.252,0.074,0.21,0.311,0.163,0.194,0.166,0.095,0.187,0.178,0.395,0.156,0.189,0.185,0.119,0.182,0.121,0.214,0.182
0.049,0,0.236,0.205,0.189,0.188,0.286,0.145,0.307,0.238,0.322,0.244,0.111,0.265,0.363,0.366,0.217,0.389,0.764,0.816,0.727,0.473,0.251,0.251,0.422,0.205,0.208,0.271,0.22,0.229,0.333,0.351,0.228,0.498,0.647,0.333,0.467,0.336,0.382,0.532
0.238,0.236,0,0.316,0.301,0.339,0.842,0.148,0.423,0.343,0.401,0.901,0.111,0.311,0.412,0.682,0.205,0.629,0.89,0.937,0.899,0.416,0.253,0.409,0.524,0.328,0.306,0.412,0.225,0.449,0.464,0.525,0.249,0.681,0.646,0.332,0.503,0.334,0.379,0.539
0.173,0.205,0.316,0,0.222,0.311,0.423,0.037,0.169,0.159,0.308,0.22,0.044,0.22,0.217,0.307,0.117,0.303,0.325,1.773,0.312,0.217,0.083,0.256,0.33,0.265,0.178,0.139,0.086,0.22,0.185,0.729,0.324,0.188,0.257,0.118,0.185,0.119,0.162,0.28
0.086,0.189,0.301,0.222,0,0.128,0.073,0.037,0.124,0.139,0.185,0.084,0.044,0.117,0.216,0.188,0.116,0.221,0.266,0.784,0.259,3.908,0.083,0.212,0.199,0.146,0.157,0.072,0.086,0.113,0.11,0.246,0.083,0.176,0.119,0.117,0.12,0.118,0.095,0.161
0.086,0.188,0.339,0.311,0.128,0,0.232,0.039,0.222,0.476,0.383,0.2,0.088,0.257,0.053,0.06,0.045,0.096,0.686,1.432,0.707,0.521,0.197,0.328,0.233,0.465,0.283,0.233,0.2,0.372,0.567,0.148,0.157,0.261,0.14,0.094,0.093,0.094,3.198,0.106
0.379,0.286,0.842,0.423,0.073,0.232,0,0.038,0.22,0.477,0.401,0.191,0.093,0.242,0.055,0.075,0.065,0.11,0.606,1.467,1.243,0.217,0.196,0.204,0.036,0.412,0.273,0.256,0.2,0.37,0.561,0.157,0.168,0.246,0.144,0.096,0.237,0.094,0.314,0.111
0.042,0.145,0.148,0.037,0.037,0.039,0.038,0,0.884,1.366,0.766,0.786,0.313,0.87,0.74,1.65,0.48,1.102,2.786,1.246,2.55,1.071,0.296,1.063,1,0.734,0.635,0.974,0.311,0.559,1.672,0.977,0.641,1.435,6.403,0.409,4.445,0.411,0.769,1.055
0.189,0.307,0.423,0.169,0.124,0.222,0.22,0.884,0,1.166,0.93,0.776,0.312,1.022,0.735,1.403,0.479,1.281,2.936,1.101,2.449,1.1,0.297,0.929,1.041,0.868,0.618,0.725,0.31,0.81,1.606,1.156,0.725,1.211,6.674,0.406,4.203,0.409,0.768,1.07
0.138,0.238,0.343,0.159,0.139,0.476,0.477,1.366,1.166,0,0.458,0.871,0.217,0.744,0.403,0.414,0.155,0.894,11.62,2.741,11.427,1.093,0.424,0.851,0.804,0.725,0.647,0.716,0.439,0.875,1.05,0.687,0.526,0.913,0.771,0.378,10.375,0.392,1.088,0.631
1.415,0.322,0.401,0.308,0.185,0.383,0.401,0.766,0.93,0.458,0,0.808,0.204,0.62,0.3,0.356,0.142,0.829,1.722,2.417,1.547,9.226,0.401,0.667,0.585,0.613,0.608,0.666,0.419,0.822,1.323,0.613,0.489,0.843,0.643,0.354,0.525,0.334,0.649,0.603
0.072,0.244,0.901,0.22,0.084,0.2,0.191,0.786,0.776,0.871,0.808,0,0.095,0.238,0.393,0.361,0.197,0.368,0.805,0.743,0.699,4.785,0.184,0.21,0.32,0.194,0.194,0.243,0.196,0.221,0.3,0.342,0.232,0.228,0.296,0.294,0.296,0.295,0.241,0.3
0.038,0.111,0.111,0.044,0.044,0.088,0.093,0.313,0.312,0.217,0.204,0.095,0,0.353,0.357,0.519,0.192,0.493,10.794,1.515,10.671,0.615,0.18,0.503,0.61,0.309,0.309,0.342,0.202,0.575,0.512,0.51,0.254,0.487,0.563,0.304,10.306,0.295,0.351,0.49
0.113,0.265,0.311,0.22,0.117,0.257,0.242,0.87,1.022,0.744,0.62,0.238,0.353,0,0.394,0.553,0.211,0.6,0.833,0.739,0.873,4.425,0.211,0.409,0.447,0.346,0.355,0.286,0.23,0.363,0.493,0.389,0.267,0.639,0.328,0.316,0.333,0.333,0.376,0.352
0.188,0.363,0.412,0.217,0.216,0.053,0.055,0.74,0.735,0.403,0.3,0.393,0.357,0.394,0,0.555,0.209,0.652,0.91,1.079,0.958,0.429,0.216,0.368,0.511,0.354,0.348,2.383,0.232,0.344,0.463,0.58,0.273,0.39,0.597,0.316,0.49,0.319,0.383,0.53
0.155,0.366,0.682,0.307,0.188,0.06,0.075,1.65,1.403,0.414,0.356,0.361,0.519,0.553,0.555,0,0.203,0.566,1.016,1.065,1.12,4.837,0.256,0.435,0.562,0.557,0.336,0.325,0.241,0.472,0.776,0.526,0.314,0.746,0.582,0.318,0.593,0.331,0.391,0.555
0.096,0.217,0.205,0.117,0.116,0.045,0.065,0.48,0.479,0.155,0.142,0.197,0.192,0.211,0.209,0.203,0,0.6,0.888,1.12,1.126,4.836,0.252,0.442,0.566,0.498,0.364,0.348,0.245,0.47,0.746,0.542,0.332,0.741,0.582,0.317,0.592,0.321,0.402,0.587
0.222,0.389,0.629,0.303,0.221,0.096,0.11,1.102,1.281,0.894,0.829,0.368,0.493,0.6,0.652,0.566,0.6,0,0.66,1.835,0.676,0.287,0.149,0.292,0.38,0.277,0.242,0.306,0.15,0.344,0.356,0.372,0.309,0.332,0.399,0.222,0.368,0.212,0.339,0.318
0.253,0.764,0.89,0.325,0.266,0.686,0.606,2.786,2.936,11.62,1.722,0.805,10.794,0.833,0.91,1.016,0.888,0.66,0,0.675,0.497,3.916,0.219,0.17,0.208,0.255,0.253,0.137,0.143,0.172,0.212,0.254,0.174,0.427,0.216,0.212,0.215,0.213,0.176,0.191
0.82,0.816,0.937,1.773,0.784,1.432,1.467,1.246,1.101,2.741,2.417,0.743,1.515,0.739,1.079,1.065,1.12,1.835,0.675,0,7.182,5.781,5.541,6.089,5.398,5.856,6.35,5.962,6.087,5.568,5.829,5.491,8.536,5.517,5.465,0.453,5.653,0.452,8.484,5.433
0.298,0.727,0.899,0.312,0.259,0.707,1.243,2.55,2.449,11.427,1.547,0.699,10.671,0.873,0.958,1.12,1.126,0.676,0.497,7.182,0,6.479,5.569,6.392,5.926,6.203,6.12,5.998,6.112,6.484,6.369,5.894,5.881,6.495,6.264,0.446,5.875,0.439,6.116,6.718
