0,3.733,0.709,0.146,0.133,0.082,0.091,0.11,0.062,0.108,0.065,0.37,1.38,0.327,0.297,0.415,0.247,0.312,0.834,0.301,0.584,0.238,2.365,0.383,0.345
3.733,0,0.123,0.499,0.464,0.16,0.159,0.159,0.159,0.159,0.159,0.726,0.561,0.324,0.387,1.392,0.402,0.401,0.272,0.428,0.419,0.401,0.867,0.152,0.178
0.709,0.123,0,0.458,0.311,0.16,0.159,0.16,0.16,0.16,0.159,0.261,0.525,0.822,0.682,1.355,0.421,0.403,0.194,0.387,0.402,0.513,0.19,0.185,0.17
0.146,0.499,0.458,0,0.309,0.159,0.157,0.158,0.159,0.159,0.158,0.999,0.521,0.332,0.382,1.106,0.519,0.533,0.226,0.388,0.607,0.481,0.25,0.22,0.237
0.133,0.464,0.311,0.309,0,0.158,0.158,0.158,0.158,0.157,0.157,0.301,0.365,0.273,0.319,0.326,0.32,0.327,0.199,0.279,0.319,0.322,1.944,0.207,0.205
0.082,0.16,0.16,0.159,0.158,0,0.13,0.13,0.13,0.13,0.13,0.22,0.344,0.245,0.285,0.25,0.25,0.25,0.092,0.226,0.259,0.251,0.215,0.219,0.186
0.091,0.159,0.159,0.157,0.158,0.13,0,0.13,0.13,0.13,0.13,0.246,0.54,0.377,0.342,1.959,0.392,0.488,0.211,0.291,0.425,0.428,0.254,0.189,0.182
0.11,0.159,0.16,0.158,0.158,0.13,0.13,0,0.049,0.043,0.043,0.103,0.198,0.31,0.156,0.462,0.174,0.182,0.515,0.27,0.188,0.164,1.78,0.322,0.343
0.062,0.159,0.16,0.159,0.158,0.13,0.13,0.049,0,0.045,0.045,0.104,0.143,0.066,0.114,0.109,0.109,0.107,0.528,0.065,0.105,0.12,0.7,0.382,0.351
0.108,0.159,0.16,0.159,0.157,0.13,0.13,0.043,0.045,0,0.046,0.103,0.372,0.081,0.18,0.266,0.159,0.177,0.635,0.211,0.165,0.175,1.972,0.353,0.358
0.065,0.159,0.159,0.158,0.157,0.13,0.13,0.043,0.045,0.046,0,0.16,0.399,0.355,0.404,0.366,0.301,0.274,0.607,0.374,0.274,0.216,2.246,0.368,0.4
0.37,0.726,0.261,0.999,0.301,0.22,0.246,0.103,0.104,0.103,0.16,0,5.225,5.321,5.236,5.62,5.265,5.249,5.673,5.503,5.276,5.259,18.988,0.376,0.377
1.38,0.561,0.525,0.521,0.365,0.344,0.54,0.198,0.143,0.372,0.399,5.225,0,4.533,4.274,14.111,10.397,10.185,4.879,10.22,5.18,4.202,1.229,0.304,0.31
0.327,0.324,0.822,0.332,0.273,0.245,0.377,0.31,0.066,0.081,0.355,5.321,4.533,0,0.436,0.421,0.181,0.167,0.497,0.223,0.176,0.166,0.718,0.373,0.358
0.297,0.387,0.682,0.382,0.319,0.285,0.342,0.156,0.114,0.18,0.404,5.236,4.274,0.436,0,0.191,0.118,0.122,0.48,0.178,0.139,0.116,0.829,0.319,0.317
0.415,1.392,1.355,1.106,0.326,0.25,1.959,0.462,0.109,0.266,0.366,5.62,14.111,0.421,0.191,0,0.09,0.098,0.194,0.045,3.123,0.085,1.952,0.3,0.326
0.247,0.402,0.421,0.519,0.32,0.25,0.392,0.174,0.109,0.159,0.301,5.265,10.397,0.181,0.118,0.09,0,0.085,0.451,0.045,0.091,0.085,0.64,0.316,0.313
0.312,0.401,0.403,0.533,0.327,0.25,0.488,0.182,0.107,0.177,0.274,5.249,10.185,0.167,0.122,0.098,0.085,0,0.478,0.206,0.152,0.137,2.021,0.325,0.323
0.834,0.272,0.194,0.226,0.199,0.092,0.211,0.515,0.528,0.635,0.607,5.673,4.879,0.497,0.48,0.194,0.451,0.478,0,0.055,0.103,0.105,1.914,0.326,0.336
0.301,0.428,0.387,0.388,0.279,0.226,0.291,0.27,0.065,0.211,0.374,5.503,10.22,0.223,0.178,0.045,0.045,0.206,0.055,0,0.244,0.206,0.655,0.308,0.297
