67,49,85,91,38,66,21,62,60,19,29,89,23,21,69,7,109,34,89,108
116,52,22,85,75,31,36,76,45,18,19,88,52,112,32,31,5,90,76,24
31,35,1,116,29,17,109,26,106,13,56,62,95,31,39,114,41,34,116,105
106,9,55,41,85,113,42,60,28,99,71,34,36,112,103,67,97,74,34,8
22,70,14,62,82,34,77,65,72,92,111,90,12,82,117,64,112,78,94,111
118,118,1,13,7,33,51,58,31,3,71,74,68,82,103,93,35,65,22,26
19,94,20,65,93,48,81,22,81,37,74,36,40,116,31,63,54,59,79,119
77,110,26,71,77,74,11,52,5,102,35,82,62,19,65,89,8,117,26,26
79,77,116,94,114,91,93,97,61,85,30,83,93,70,81,117,5,11,21,12
73,51,41,45,41,41,1,76,99,111,68,105,112,56,66,29,31,94,74,18
