66,106,15,100,44,72,11,65,106,65,16,52,102,118,23,79,76,81,44,82,84,38,116,105,119,116,90,48,97,81,10,103,65,61,88,24,86,47,81,12,45,118,56,94,66,67,14,107,113,98
3,119,54,93,22,67,99,67,87,17,18,4,7,102,62,102,30,109,3,119,8,85,61,77,14,38,93,40,49,27,28,60,99,23,21,60,61,2,21,83,53,85,73,91,107,71,4,63,19,18
58,108,34,111,8,1,87,71,56,3,22,15,49,58,61,20,33,72,117,90,36,61,16,76,90,2,106,93,88,14,34,45,50,65,110,92,114,18,89,39,92,9,74,32,83,20,97,4,10,92
77,34,65,58,58,119,74,80,47,13,98,50,40,118,105,84,98,24,93,28,97,39,52,33,112,37,42,52,71,101,84,32,87,44,109,34,77,86,72,42,15,74,64,13,76,36,50,95,94,113
61,2,30,29,26,72,13,100,64,111,22,82,40,94,25,88,15,53,93,81,62,117,7,38,38,84,19,19,60,3,8,30,14,118,31,105,49,59,79,119,28,29,59,54,51,85,3,33,61,90
89,21,56,80,119,15,92,104,82,50,48,95,96,11,34,106,84,12,28,47,50,60,40,93,11,79,79,91,93,85,108,54,14,9,119,49,114,82,110,116,42,14,9,12,60,81,72,14,15,21
10,110,97,33,16,65,91,14,66,58,61,22,21,58,64,67,33,30,79,21,63,6,70,6,111,47,106,38,57,89,29,35,101,74,18,89,94,53,53,65,95,101,87,110,22,38,104,83,57,118
100,78,77,105,42,65,88,54,108,31,86,92,67,34,80,47,60,53,63,19,26,67,30,44,73,98,106,90,81,98,87,52,118,78,12,74,72,60,11,36,38,104,76,8,30,62,73,50,57,117
46,2,9,34,31,2,12,52,112,17,76,18,92,108,105,20,1,67,90,73,92,101,18,21,71,69,48,82,36,57,39,116,47,35,75,102,80,13,111,77,50,66,102,4,113,50,12,3,69,10
36,72,90,102,6,92,57,76,61,23,89,5,35,104,40,32,100,84,13,53,65,43,14,84,10,109,90,11,108,15,106,1,38,119,12,92,95,15,109,29,80,10,111,10,76,66,91,71,53,70
75,99,48,22,32,88,7,30,12,59,50,65,35,94,57,27,68,46,36,107,31,110,79,104,119,85,112,75,80,50,39,85,108,16,71,6,7,40,21,65,35,40,38,47,119,54,47,61,7,98
35,102,47,60,8,66,8,10,112,29,32,45,54,112,65,114,9,105,63,72,22,73,28,69,66,87,118,13,112,74,103,88,38,76,92,51,85,91,38,13,62,42,70,40,52,64,54,16,90,54
93,29,48,89,5,1,76,4,91,116,58,8,118,113,105,76,36,95,93,1,17,31,73,76,60,67,7,35,115,92,2,116,4,72,68,15,96,55,42,94,71,19,46,23,82,104,107,13,60,25
65,88,6,114,79,35,4,56,11,112,39,84,18,42,89,66,96,110,115,86,112,95,65,100,98,29,59,21,12,110,106,59,43,50,113,42,7,14,41,39,82,36,89,2,28,73,88,40,8,22
35,25,6,5,40,45,24,118,18,38,82,59,117,35,11,25,63,72,72,55,94,27,22,59,15,42,68,52,114,118,78,87,77,36,85,20,102,11,65,110,5,82,7,20,105,38,47,59,56,15
26,36,114,18,61,37,105,74,84,30,103,4,13,3,2,53,40,110,14,26,76,21,59,102,52,69,55,33,54,115,54,78,41,105,101,72,94,103,113,91,97,98,87,115,65,22,11,15,24,52
118,114,87,17,84,116,54,34,68,96,26,119,73,51,112,49,1,19,5,5,48,64,105,14,87,3,80,102,57,15,91,82,12,45,17,10,66,43,85,39,118,110,116,94,43,103,66,114,30,94
76,13,18,64,73,6,71,108,83,76,96,19,37,32,114,53,23,90,62,24,39,18,113,31,117,89,75,17,6,71,77,60,89,50,28,27,89,73,31,43,69,93,105,78,10,105,29,50,18,24
41,94,102,60,98,12,34,16,80,71,88,20,65,24,33,101,58,82,88,115,64,118,52,55,49,105,79,4,2,87,25,16,25,41,8,10,55,63,58,36,7,109,102,92,18,44,4,45,51,80
80,111,11,50,72,111,51,76,64,45,72,107,10,88,67,10,46,42,2,32,34,106,45,23,27,10,30,109,57,9,110,47,98,66,8,34,67,24,15,43,46,46,30,61,39,55,64,38,66,33
