0,0.055,0.378,0.154,0.038,0.342,0.03,0.026,0.243,0.101,2.351,0.255,0.216,0.121,0.175
0.055,0,0.29,0.098,0.026,0.291,0.03,0.011,0.168,0.089,0.263,0.143,0.103,0.078,0.082
0.378,0.29,0,0.117,0.106,0.316,0.112,0.063,0.26,0.166,0.196,0.165,0.117,0.119,0.095
0.154,0.098,0.117,0,0.144,0.393,0.172,0.107,0.296,0.196,0.522,0.24,0.185,0.181,0.337
0.038,0.026,0.106,0.144,0,1.059,0.304,0.255,0.436,0.331,0.872,0.487,0.363,0.353,0.456
0.342,0.291,0.316,0.393,1.059,0,0.236,0.154,0.329,0.291,0.559,0.158,0.143,0.2,0.271
0.03,0.03,0.112,0.172,0.304,0.236,0,0.283,0.359,0.405,1.098,0.303,0.148,0.39,14.178
0.026,0.011,0.063,0.107,0.255,0.154,0.283,0,6.068,5.118,5.853,5.258,5.167,5.153,5.175
0.243,0.168,0.26,0.296,0.436,0.329,0.359,6.068,0,0.224,0.344,0.166,0.113,0.144,0.168
0.101,0.089,0.166,0.196,0.331,0.291,0.405,5.118,0.224,0,0.225,0.176,0.121,0.086,0.387
2.351,0.263,0.196,0.522,0.872,0.559,1.098,5.853,0.344,0.225,0,0.321,0.187,0.139,0.648
0.255,0.143,0.165,0.24,0.487,0.158,0.303,5.258,0.166,0.176,0.321,0,0.176,0.201,0.228
0.216,0.103,0.117,0.185,0.363,0.143,0.148,5.167,0.113,0.121,0.187,0.176,0,0.078,0.699
0.121,0.078,0.119,0.181,0.353,0.2,0.39,5.153,0.144,0.086,0.139,0.201,0.078,0,0.096
0.175,0.082,0.095,0.337,0.456,0.271,14.178,5.175,0.168,0.387,0.648,0.228,0.699,0.096,0
0.264,0.175,0.289,0.097,0.02,0.321,0.047,0.052,0.165,0.104,0.256,0.208,0.089,0.114,0.109
0.273,0.29,0.316,0.143,0.022,0.347,0.095,0.07,0.204,0.186,1.978,0.315,0.126,0.156,0.171
0.318,0.425,0.404,0.163,0.068,0.411,0.068,0.103,0.29,0.225,0.491,0.321,0.239,0.204,0.182
5.165,0.68,0.429,1.02,0.118,0.492,0.027,0.732,1.287,0.518,0.312,1.323,0.236,0.122,0.485
0.232,0.043,0.317,0.104,0.032,0.395,0.029,0.045,0.172,0.087,0.186,0.147,0.089,0.282,0.21
0.765,0.278,0.461,0.074,0.157,0.252,0.161,0.162,0.147,0.234,0.373,0.116,0.111,0.07,0.232
0.197,0.126,0.373,0.042,0.122,0.193,0.162,0.115,0.311,0.18,0.211,0.069,0.028,0.017,0.023
0.253,0.337,0.53,0.082,0.134,0.268,0.191,0.216,0.339,0.244,0.367,0.126,0.063,0.076,0.066
0.219,0.162,0.362,0.045,0.126,0.211,0.167,0.107,0.125,0.175,0.206,0.07,0.03,0.019,0.021
0.3,0.193,0.301,0.108,0.04,0.357,0.114,0.085,0.184,0.153,0.299,0.219,0.107,0.124,0.188
0.281,0.194,0.313,0.101,0.041,0.36,0.11,0.065,0.184,0.152,0.296,0.208,0.104,0.123,0.105
0.3,0.307,0.414,0.25,0.072,0.465,0.176,0.171,0.277,0.182,0.421,0.327,0.168,0.249,0.182
0.302,0.282,0.374,0.176,0.022,0.337,0.069,0.054,0.246,0.138,0.333,0.244,0.172,0.143,0.49
0.25,0.179,0.349,0.12,0.019,0.29,0.053,0.026,0.164,0.112,0.226,0.156,0.094,0.091,0.102
0.395,0.139,0.417,0.058,0.065,0.342,0.101,0.07,0.199,0.197,0.317,0.269,0.098,0.189,0.529
0.252,0.319,0.475,0.141,0.173,0.337,0.147,0.174,0.129,0.222,0.254,0.275,0.181,0.051,0.06
0.302,0.368,0.515,0.152,0.198,0.335,0.369,0.377,0.252,0.303,0.487,0.31,0.105,0.297,0.695
0.236,0.282,0.476,0.139,0.144,0.264,0.13,0.128,0.121,0.376,0.453,0.23,0.126,0.068,1.711
0.184,0.182,0.355,0.056,0.091,0.182,0.131,0.081,0.117,0.19,0.204,0.079,0.01,0.015,0.305
0.391,0.263,0.535,0.187,0.232,0.469,0.155,0.223,0.2,0.305,0.461,0.36,0.162,0.165,0.319
0.425,10.096,0.487,0.275,0.181,0.524,0.405,0.14,0.32,0.329,0.675,0.341,0.29,0.213,10.173
0.308,0.088,0.37,0.364,0.061,0.395,0.101,0.092,0.297,0.199,0.454,0.29,0.117,0.295,0.256
0.298,0.098,0.381,0.202,0.067,0.413,0.118,0.067,0.474,0.194,0.427,0.29,0.16,0.189,0.353
0.406,0.223,0.519,0.1,0.295,0.274,0.12,0.114,0.181,0.279,0.408,0.182,0.106,0.2,0.326
0.402,0.244,0.502,0.091,0.187,0.372,0.117,0.129,0.184,0.342,0.346,0.182,0.104,0.209,0.314
